workload,dataset,split,evaluation_role,graph_compute_placement,kv_storage_placement,baseline,memory_token_tile,num_queries,calibration_label,technology_nm,frequency_mhz,total_incremental_area_mm2,mean_dynamic_energy_nj,mean_leakage_energy_nj,mean_total_energy_nj,p50_total_energy_nj,p95_total_energy_nj,mean_average_power_w,p50_average_power_w,p95_average_power_w,mean_peak_dynamic_power_w,mean_peak_total_power_w,mean_hbm_read_energy_nj,mean_local_buffer_energy_nj,mean_communication_energy_nj,mean_reducer_energy_nj,mean_energy_delay_product_j_s
arxiv,arxiv,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,16090786.905072,11429560.752845,27520347.657917,28923954.450240,32149755.721200,0.092256,0.096115,0.104127,5.700608,5.738974,229994.871792,1100872.679424,5249439.891456,109294.387200,0.008232
arxiv,arxiv,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,18230014.065648,11153329.542144,29383343.607792,30550235.925600,34776746.410800,0.098256,0.102932,0.111744,5.700608,5.737973,229994.871792,0.000000,8489539.731456,210547.507200,0.008812
arxiv,arxiv,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,15129599.633616,11327778.722765,26457378.356381,28478891.908800,32029275.600000,0.089004,0.090481,0.105702,5.635072,5.673261,224280.013008,956848.668672,5163058.200576,107524.915200,0.007887
arxiv,arxiv,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,16901481.261264,11056278.352128,27957759.613392,30368806.185600,34046440.863840,0.093835,0.095868,0.112732,5.635072,5.672276,224280.013008,0.000000,7891788.496896,192797.736960,0.008353
cora_link,cora_link,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,27297187.232688,14546750.258304,41843937.490992,42017338.609440,65372762.525856,0.129760,0.127643,0.194612,12.015616,12.060880,438904.945584,1966501.527552,10872969.756672,226944.614400,0.013635
cora_link,cora_link,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,30897114.315696,13909396.169856,44806510.485552,45063898.312800,68744822.520480,0.138531,0.136064,0.203700,12.015616,12.058802,438904.945584,0.000000,16439398.367232,400895.508480,0.014646
cora_link,cora_link,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,26250837.212352,14918091.897139,41168929.109491,40134513.036480,57671223.399744,0.124917,0.125318,0.169478,12.021350,12.066615,434995.707072,2042401.652736,11005952.262144,229854.412800,0.013764
cora_link,cora_link,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,30030548.942016,14260163.951616,44290712.893632,43141076.160000,61673431.019040,0.133971,0.134181,0.181593,12.021350,12.064510,434995.707072,0.000000,16828065.644544,411795.456000,0.014856
cora_node,cora_node,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,20302507.446720,13769350.332979,34071857.779699,33915448.086720,64382633.583072,0.105356,0.105876,0.188114,10.297344,10.340207,357856.612800,1709778.665472,9305113.755648,194484.633600,0.011168
cora_node,cora_node,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,23452249.395648,13222323.459072,36674572.854720,36875455.915200,68015077.509600,0.113084,0.114949,0.196195,10.297344,10.338426,357856.612800,0.000000,14164634.370048,346344.652800,0.012057
cora_node,cora_node,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,18537174.518064,13394381.309338,31931555.827402,33217420.560480,42774430.256256,0.101097,0.101429,0.131947,10.097050,10.139635,344908.876080,1618420.432896,9162989.764608,191633.817600,0.010258
cora_node,cora_node,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,21465966.823728,12863259.638784,34329226.462512,35413653.936000,46413836.497200,0.108312,0.108773,0.143277,10.097050,10.137881,344908.876080,0.000000,13710202.503168,333734.215680,0.011067
pubmed_node,pubmed_node,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,25743178.111200,14457397.593446,40200575.704646,38654885.469600,61813422.004800,0.129910,0.125143,0.193756,13.568000,13.614803,466639.427808,2383404.859392,12450539.765760,260505.600000,0.012467
pubmed_node,pubmed_node,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,30207897.278688,13752055.433472,43959952.712160,42221249.124000,66960115.944000,0.141644,0.134555,0.209404,13.568000,13.612418,466639.427808,0.000000,19298663.792640,474509.475840,0.013673
pubmed_node,pubmed_node,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,25576895.748768,14651803.151770,40228698.900538,37997694.299040,58062882.431040,0.128278,0.119561,0.183453,13.547520,13.594311,464857.406112,2398152.032256,12431004.794880,260112.384000,0.012659
pubmed_node,pubmed_node,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,30083239.189152,13938843.055104,44022082.244256,41609800.075200,61140690.830400,0.139944,0.129098,0.192696,13.547520,13.591930,464857.406112,0.000000,19335500.267520,475877.867520,0.013896
wikics,wikics,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,20685021.204768,12028877.683738,32713898.888506,32873933.095200,43742676.271680,0.105769,0.104988,0.139441,5.994496,6.033430,248146.514208,2119648.149504,5532712.697856,115094.323200,0.010158
wikics,wikics,test,final_evaluation,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,25469616.869664,11739353.944704,37208970.814368,36647185.384800,50766520.698720,0.119797,0.116431,0.162406,5.994496,6.032376,248146.514208,0.000000,12436956.512256,330851.942400,0.011604
wikics,wikics,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,19493532.079248,11901254.367283,31394786.446531,31543044.312000,38724644.082000,0.101639,0.103765,0.125497,5.870182,5.908819,241170.257040,1882963.574784,5396615.921664,112282.828800,0.009732
wikics,wikics,validation,config_selection,source_dst_locality,balanced,pim_selective_kv_no_local_combine,4,100,provisional_28nm_v1,28.000000,400.000000,62.380000,23673770.480784,11617628.163840,35291398.644624,35659886.858400,44501689.071840,0.113831,0.114948,0.144854,5.870182,5.907791,241170.257040,0.000000,11459817.897984,301757.890560,0.010981
